Bib,Name,Country,Gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Gender Qualifier Rank,Qualified
1703,Santiago Ascenco,Brazil,Male,M45-49,03:53:09,13,13,1,00:25:52,26,23,2,02:04:20,14,14,1,01:19:23,11,11,1,00:2:16,181,150,19,00:1:19,18,16,1,FIN,03:29:19,1,1,1
1480,ROBERTO C FONSECA,Brazil,Male,M50-54,04:01:23,23,23,1,00:25:57,29,26,1,02:12:07,61,60,1,01:19:52,13,13,1,00:1:44,50,37,1,00:1:43,96,83,1,FIN,03:33:12,2,2,1
970,Bruno Khouri,Brazil,Male,M45-49,03:58:42,18,18,2,00:26:56,43,39,5,02:05:55,20,20,2,01:22:12,25,24,2,00:1:23,31,23,1,00:2:16,344,290,33,FIN,03:34:18,3,3,1
602,FILIPE ALBUQUERQUE ARAGAO,Brazil,Male,M40-44,04:01:18,22,22,1,00:29:52,132,117,25,02:07:22,25,25,1,01:21:08,17,17,1,00:1:34,39,27,1,00:1:20,20,17,2,FIN,03:43:29,4,4,1
633,Rodrigo Lobo,Brazil,Male,M40-44,04:05:19,29,28,2,00:26:59,44,40,3,02:13:03,71,70,12,01:21:36,19,19,2,00:1:58,91,74,10,00:1:42,90,77,12,FIN,03:47:12,5,5,1
912,Clodoaldo Oliveira,Brazil,Male,M45-49,04:13:06,49,48,3,00:30:36,165,148,14,02:15:05,93,92,11,01:23:41,29,28,3,00:2:06,128,106,8,00:1:39,74,65,5,FIN,03:47:13,6,6,1
957,RODRIGO LOIOLA DE ANDRADE,Brazil,Male,M45-49,04:16:33,60,58,4,00:31:05,198,176,20,02:12:44,66,65,6,01:28:29,64,62,5,00:2:13,161,133,15,00:2:01,222,185,23,FIN,03:50:19,7,7,1
562,GUILHERME UGIONI,Brazil,Male,M40-44,04:08:53,36,35,3,00:31:09,200,178,39,02:07:33,27,27,2,01:26:31,45,44,4,00:1:59,95,77,11,00:1:42,91,78,13,FIN,03:50:30,8,8,1
1412,Nathan Ciarlo,Brazil,Male,M30-34,03:59:24,19,19,1,00:25:55,28,25,3,02:05:52,19,19,1,01:23:48,31,30,4,00:1:54,76,61,11,00:1:55,165,140,27,FIN,03:51:08,9,9,1
536,André Constancio,Brazil,Male,M40-44,04:10:21,41,40,4,00:30:12,147,130,27,02:12:12,63,62,8,01:23:23,28,27,3,00:2:25,239,201,41,00:2:08,284,238,44,FIN,03:51:52,10,10,1
514,Leandro Albuquerque Vieira,Brazil,Male,M40-44,04:11:22,44,43,5,00:27:54,57,52,7,02:12:10,62,61,7,01:27:56,55,53,6,00:1:56,84,68,9,00:1:26,30,25,3,FIN,03:52:48,11,11,1
1279,Diogo Andrade Villarinho,Brazil,Male,M30-34,04:01:12,21,21,2,00:22:33,1,1,1,02:08:32,32,32,5,01:27:04,48,47,7,00:1:24,32,24,1,00:1:39,72,63,12,FIN,03:52:52,12,12,1
1418,RODRIGO MALDI PASSINI,Brazil,Male,M30-34,04:01:40,26,25,3,00:27:12,47,43,6,02:10:08,46,46,9,01:21:21,18,18,1,00:1:36,41,29,4,00:1:24,24,21,2,FIN,03:53:19,13,13,1
1343,Matheus Martini,Brazil,Male,M30-34,04:01:45,27,26,4,00:23:26,5,5,2,02:09:30,39,39,7,01:25:31,40,39,6,00:1:40,46,33,5,00:1:39,73,64,13,FIN,03:53:24,14,14,1
611,BRENO NASCIMENTO,Brazil,Male,M40-44,04:12:10,46,45,6,00:28:13,69,60,10,02:12:43,65,64,9,01:27:46,54,52,5,00:1:46,55,42,5,00:1:42,92,79,14,FIN,03:53:33,15,15,1
210,Gabriel Giovaney Cardoso Carvalh,Brazil,Male,M35-39,04:06:01,32,31,1,00:28:33,76,67,8,02:04:55,16,16,1,01:28:24,63,61,13,00:2:01,102,84,17,00:2:08,282,236,64,FIN,03:53:42,16,16,1
325,Pedro Paulo Montedonio Rego,Brazil,Male,M35-39,04:06:43,34,33,2,00:29:34,116,102,18,02:09:42,44,44,7,01:23:44,30,29,1,00:1:51,68,53,8,00:1:52,142,121,30,FIN,03:54:22,17,17,1
1210,Fernando Maluf,Brazil,Male,M25-29,03:56:07,16,16,1,00:28:02,63,55,6,02:04:55,15,15,1,01:20:24,16,16,1,00:1:15,23,19,1,00:1:31,41,36,1,FIN,03:54:26,18,18,1
636,Rafael Moraes,Brazil,Male,M40-44,04:13:37,50,49,7,00:30:18,152,135,30,02:10:02,45,45,4,01:29:19,70,68,10,00:1:37,43,31,2,00:2:22,400,337,60,FIN,03:54:53,19,19,
865,Rafael Sousa,Brazil,Male,M45-49,04:22:20,76,74,5,00:24:08,7,7,1,02:08:10,30,30,3,01:46:10,382,333,52,00:1:57,87,71,6,00:1:55,171,144,17,FIN,03:55:31,20,20,1
1622,Avelino Alves,Brazil,Male,M65-69,05:08:28,492,439,1,00:29:28,114,100,1,02:31:45,480,439,1,02:00:48,770,638,1,00:3:00,495,416,1,00:3:26,898,732,1,FIN,03:55:40,21,21,1
258,André Montibeller,Brazil,Male,M35-39,04:08:28,35,34,3,00:26:00,30,27,1,02:11:17,54,54,10,01:28:05,59,57,11,00:1:31,35,25,1,00:1:35,54,48,8,FIN,03:56:02,22,22,1
1296,Lino Henrique Magalhaes Nardin,Brazil,Male,M30-34,04:04:53,28,27,5,00:30:01,139,123,20,02:08:59,37,37,6,01:21:57,21,21,2,00:2:02,109,90,16,00:1:55,167,142,28,FIN,03:56:26,23,23,1
